STORE,DATE,TEMPERATURE,FUEL_PRICE
4,2010-02-12,28.84,2.573
7,2010-02-12,25.90,2.572
14,2010-02-12,27.73,2.773
15,2010-02-12,22.00,2.940
16,2010-02-12,20.87,2.572
18,2010-02-12,26.41,2.771
19,2010-02-12,23.22,2.940
20,2010-02-12,22.12,2.773
22,2010-02-12,28.14,2.771
24,2010-02-12,25.94,2.940
25,2010-02-12,19.64,2.773
26,2010-02-12,18.14,2.771
27,2010-02-12,29.81,2.940
29,2010-02-12,28.14,2.771
32,2010-02-12,28.09,2.572
35,2010-02-12,29.81,2.773
41,2010-02-12,23.04,2.572
45,2010-02-12,27.73,2.773
